time_s,V_A,P_A,f_o,f_c,p_o,p_c,z
0,1,760,0.1368,0.05263,40,46,4.4219e-07
0.005,1.0160918290579894,759.9669229050672,0.1367998174813115,0.05262856868021644,40.67272988025547,43.391922813854094,7.060558027041096e-05
0.01,1.0319939693692723,759.9342719838439,0.13680715436442253,0.052621463490958226,41.3639826984725,41.0721353462881,0.00013672160631610965
0.015,1.0477088772142422,759.9020421662652,0.13682168041410872,0.05260896630548264,42.07483021082087,39.00876210367195,0.00019922804447702511
0.02,1.0632389779549598,759.8702284316684,0.13684308386003297,0.052591339866046215,42.806399480660595,37.17343602652762,0.0002585142796606744
0.025,1.0785866664143102,759.838825809528,0.1368710700132901,0.05256882956796451,43.5598745749255,35.54091285251175,0.00031492663246188916
0.03,1.0937543072514753,759.807829380035,0.1369053600145372,0.05254166504043512,44.3364977125584,34.088727841986596,0.0003687731008667776
0.035,1.108744235332725,759.7772342745426,0.13694568969884635,0.052510061550325914,45.137569667493935,32.79689022631263,0.0004203275806566505
0.04,1.1235587560976301,759.7470356758904,0.13699180856423307,0.05247422125152073,45.96444917785205,31.647611230977837,0.00046983362183175515
0.045,1.1382001459207434,759.7172288186237,0.13704347883247806,0.0524343342992348,46.81855105270173,30.625061983947006,0.0005175077720437933
0.05,1.1526706524688046,759.6878089891195,0.13710047459226715,0.05239057984602706,47.70134259577038,29.715158026153134,0.0005635425524094077
0.055,1.1669724950535252,759.6587715256284,0.13716258101587325,0.05234312693396189,48.61433788118935,28.905367500488367,0.0006081091061105296
0.06,1.1811078649800097,759.6301118182429,0.13722959364163803,0.05229213529542462,49.559089319014504,28.18454041808243,0.0006513595557321939
0.065,1.1950789258908614,759.6018253088012,0.13730131771539236,0.05223775607343753,50.53717583860117,27.542756686033986,0.0006934291013449341
0.07,1.208887814106036,759.5739074907309,0.13737756758471326,0.05218013247090245,51.55018689810598,26.971190835177293,0.0007344378878230296
0.075,1.2225366389584884,759.5463539088408,0.13745816614056316,0.05211940033697632,52.599701402917496,26.461991613401132,0.0007744926667536816
0.08,1.2360274831256683,759.5191601590657,0.13754294430141384,0.05205568869774238,53.687260493873474,26.008174810931465,0.0008136882755157621
0.085,1.2493624029569168,759.4923218881669,0.13763174053543514,0.051989120237435696,54.81433306047528,25.60352786387833,0.0008521089536205629
0.09,1.2625434287968116,759.4658347933943,0.1377244004167381,0.05191981173570579,55.98227276711666,25.242524942290473,0.0008898295141963589
0.095,1.275572565304517,759.4396946221096,0.1378207762120192,0.05184787446572735,57.19226538064361,24.920251370699603,0.0009269163865395447
0.1,1.2884517917691807,759.4138971713763,0.13792072649426124,0.05177341455738829,58.44526529714387,24.632336355730732,0.0009634285439053163
0.105,1.3011830624214378,759.3884382875132,0.1380241157804323,0.051696533329279384,59.74192043779675,24.374893108177286,0.0009994183291514214
0.11,1.3137683067410566,759.363313865617,0.138130814190388,0.05161732759276898,61.082485181061976,24.144465547183657,0.0010349321894628763
0.115,1.3262094297607865,759.3385198490517,0.1382406971244497,0.051535889931061965,62.46672179306259,23.937980863304052,0.0010700113301535892
0.12,1.3385083123664478,759.314052228906,0.1383536449574174,0.051452308955802634,63.89379197570039,23.75270729681969,0.001104692296440354
0.125,1.3506668115933143,759.2899070434189,0.1384695427470974,0.051366669543482006,65.36214172029787,23.58621655821907,0.0011390074911098319
0.13,1.362686760918832,759.2660803773767,0.1385882799558044,0.051279053053641915,66.86938463042611,23.436350380825807,0.001172985635127178
0.135,1.3745699705517231,759.2425683614807,0.13870975018374765,0.051189537530626834,68.41219117850378,23.301190751561457,0.0012066521774608202
0.14,1.3863182277175148,759.2193671716926,0.1388338509137393,0.05109819789041583,69.98619378130294,23.179033415672446,0.0012400296597088862
0.145,1.3979332969405427,759.1964730285598,0.13896048326726107,0.0510051060938666,71.58591976648307,23.068364295766532,0.0012731380404973818
0.15,1.4094169203224738,759.1738821965324,0.1390895517725729,0.050910331307522705,73.20476574164893,22.96783850470616,0.0013059949840782637
0.155,1.4207708178173812,759.1515909832808,0.13922096414617943,0.05081394005297083,74.83502695160854,22.87626166752218,0.0013386161170631378
0.16,1.4319966875034327,759.1295957390236,0.13935463108952942,0.0507159963455931,76.46799329757225,22.79257329847767,0.001371015256800175
0.165,1.4430962058512153,759.1078928558859,0.13949046610319193,0.050616561823440646,78.0941193576271,22.715832007412853,0.0014032046145146654
0.17,1.4540710279887519,759.0864787672989,0.13962838532085048,0.0505156958668654,79.70326896234342,22.645202334320125,0.001435194975990458
