run,state,unit,max_absolute,rms,final,max_relative_excluding_initial
control-0.9-Radau,V_A,litre,0.0,0.0,2.2811993348586346,0.0
control-0.9-Radau,P_A,mmHg,0.0,0.0,757.5670154671768,0.0
control-0.9-Radau,f_o,dimensionless,0.0,0.0,0.20984222681261885,0.0
control-0.9-Radau,f_c,dimensionless,0.0,0.0,0.0001322096982264311,0.0
control-0.9-Radau,p_o,mmHg,0.0,0.0,149.10548901023006,0.0
control-0.9-Radau,p_c,mmHg,0.0,0.0,0.889462225335041,0.0
control-0.9-Radau,z,source-labelled dimensionless; unresolved,0.0,0.0,0.001204620904061725,0.0
control-0.9-BDF,V_A,litre,1.5453727186809374e-10,3.974591839666463e-11,2.281199334863128,6.27473413838526e-11
control-0.9-BDF,P_A,mmHg,2.9615421226480976e-10,7.447929119454883e-11,757.5670154671815,3.9074202684832833e-13
control-0.9-BDF,f_o,dimensionless,7.856909567394155e-12,2.90989631001737e-12,0.2098422268126504,4.5741774304371134e-11
control-0.9-BDF,f_c,dimensionless,5.617877690822226e-12,2.077654919536231e-12,0.0001322096982013388,2.328886754967787e-10
control-0.9-BDF,p_o,mmHg,1.5127127994674083e-08,2.6162181922088348e-09,149.1054890102536,1.9211469521572467e-10
control-0.9-BDF,p_c,mmHg,6.937078467217361e-09,1.305269031564493e-09,0.8894622251965006,2.704574582448748e-10
control-0.9-BDF,z,source-labelled dimensionless; unresolved,7.469224891365478e-13,4.794042873004997e-13,0.001204620903876868,4.868291607718755e-10
control-0.9-DOP853,V_A,litre,6.654676809603188e-12,1.8227202043807916e-12,2.2811993348586572,2.6975375711234112e-12
control-0.9-DOP853,P_A,mmHg,1.602984411874786e-11,2.7313541212397242e-12,757.5670154671768,2.1149271846475206e-14
control-0.9-DOP853,f_o,dimensionless,9.77273817426294e-14,1.436939132653216e-14,0.20984222681261913,6.357586120775885e-13
control-0.9-DOP853,f_c,dimensionless,6.980527267330672e-14,1.0323485545977586e-14,0.0001322096982262981,3.2700554783595748e-12
control-0.9-DOP853,p_o,mmHg,4.618811999534955e-10,2.967437428298947e-11,149.10548901023012,4.7112180320845655e-12
control-0.9-DOP853,p_c,mmHg,1.2792611414624844e-10,7.90644498131118e-12,0.8894622253350308,3.900696506105593e-12
control-0.9-DOP853,z,source-labelled dimensionless; unresolved,1.0332013022917863e-14,1.6259025907673577e-15,0.001204620904061789,8.431572963504157e-12
control-1.0-Radau,V_A,litre,0.0,0.0,2.2843884314419873,0.0
control-1.0-Radau,P_A,mmHg,0.0,0.0,757.2974945477566,0.0
control-1.0-Radau,f_o,dimensionless,0.0,0.0,0.20983854338606284,0.0
control-1.0-Radau,f_c,dimensionless,0.0,0.0,0.00013511551784661763,0.0
control-1.0-Radau,p_o,mmHg,0.0,0.0,149.04629088422232,0.0
control-1.0-Radau,p_c,mmHg,0.0,0.0,0.9010903498904288,0.0
control-1.0-Radau,z,source-labelled dimensionless; unresolved,0.0,0.0,0.0012196803557138185,0.0
control-1.0-BDF,V_A,litre,1.1800072030609954e-10,3.204491189177538e-11,2.284388431446633,4.8739816012548816e-11
control-1.0-BDF,P_A,mmHg,2.5136159820249304e-10,6.58067025342099e-11,757.2974945477617,3.317305411314433e-13
control-1.0-BDF,f_o,dimensionless,8.21398504768922e-12,3.080840749800492e-12,0.2098385433860976,4.787959875446846e-11
control-1.0-BDF,f_c,dimensionless,5.878443565254798e-12,2.2016983378133864e-12,0.00013511551781909725,2.47715184278139e-10
control-1.0-BDF,p_o,mmHg,1.4923287494639226e-08,2.7503305985074433e-09,149.0462908842483,1.882360543992067e-10
control-1.0-BDF,p_c,mmHg,6.947356467890131e-09,1.3583937691115592e-09,0.901090349742356,2.706892811134097e-10
control-1.0-BDF,z,source-labelled dimensionless; unresolved,7.867890366997088e-13,5.05109860772669e-13,0.001219680355516669,4.869235858975607e-10
control-1.0-DOP853,V_A,litre,7.332801033044234e-12,3.145330389340885e-12,2.284388431442007,2.924050511403793e-12
