id,server,arrival_s,start_s,finish_s,wait_s
job-0000,0,0.0,0.0,11.014487070371311,0.0
job-0001,0,7.636107167316265,11.014487070371311,21.922691324595192,3.3783799030550465
job-0002,0,15.319659238667196,21.922691324595192,33.34164991078821,6.603032085927996
job-0003,0,23.199706842040573,33.34164991078821,43.37030446391321,10.14194306874764
job-0004,0,34.1730719736594,43.37030446391321,52.641269294782134,9.19723249025381
job-0005,0,44.57946804122224,52.641269294782134,65.37841237161555,8.061801253559892
job-0006,0,51.9888900640318,65.37841237161555,75.06708685168356,13.389522307583754
job-0007,0,61.50332067182182,75.06708685168356,87.55186301992217,13.563766179861737
job-0008,0,69.34807944565411,87.55186301992217,100.56242241971015,18.20378357426806
job-0009,0,80.14330100739099,100.56242241971015,113.24503325867369,20.419121412319157
job-0010,0,91.02176199286316,113.24503325867369,123.8187364448271,22.223271265810524
job-0011,0,98.87949072479734,123.8187364448271,133.10123901179713,24.93924572002976
job-0012,0,108.12755497969331,133.10123901179713,142.80587344387033,24.97368403210382
job-0013,0,118.63764350710785,142.80587344387033,154.7003388932877,24.168229936762472
job-0014,0,126.65291833597234,154.7003388932877,164.57639775650935,28.04742055731535
job-0015,0,136.52542222544002,164.57639775650935,177.12196426260235,28.050975531069327
job-0016,0,145.8284450571518,177.12196426260235,186.890696886814,31.293519205450536
job-0017,0,155.92978204022677,186.890696886814,196.78052580666835,30.96091484658723
job-0018,0,164.07942668370887,196.78052580666835,208.95609023990502,32.70109912295948
job-0019,0,174.6205708887204,208.95609023990502,221.14560818151477,34.335519351184615
job-0020,0,182.5702947609509,221.14560818151477,230.88178347421302,38.57531342056387
job-0021,0,192.12700373209097,230.88178347421302,241.11838921786378,38.754779742122054
job-0022,0,202.77226991940984,241.11838921786378,252.88831222735658,38.34611929845394
job-0023,0,212.7102557143774,252.88831222735658,262.8267840637113,40.17805651297917
job-0024,0,222.37800650889062,262.8267840637113,275.769840379276,40.44877755482065
job-0025,0,230.75954612053832,275.769840379276,285.26677817453276,45.01029425873767
job-0026,0,240.00407420923273,285.26677817453276,296.84436035049976,45.262703965300034
job-0027,0,249.36049491574087,296.84436035049976,306.60342497979144,47.48386543475888
job-0028,0,258.3135120416075,306.60342497979144,316.68986735881873,48.28991293818393
job-0029,0,268.6020960618662,316.68986735881873,328.6560833317772,48.08777129695255
job-0030,0,276.8946836194117,328.6560833317772,338.4916020549711,51.76139971236552
job-0031,0,286.5161397308845,338.4916020549711,351.4574696238801,51.97546232408661
job-0032,0,295.58382989781853,351.4574696238801,363.37109368909194,55.87363972606158
job-0033,0,303.2822067162726,363.37109368909194,373.5740185385448,60.08888697281935
