state,R,max_effect,final_effect,combined_width,effect_ratio,refinement,threshold
V_A,0.9,0.05248070827222806,-0.0031890965833527574,2.725379921741933e-10,192562907.84840336,7.068567953183447e-12,1e-06
V_A,1.1,0.047764966590000846,0.0037766884545300528,2.080660088665809e-10,229566409.47839487,7.068567953183447e-12,1e-06
P_A,0.9,0.26952305330451054,0.26952091942018797,5.475158104673028e-10,492265333.9900332,1.8189894035458565e-11,0.0001
P_A,1.1,0.2684906258717774,-0.26847194781532835,4.6190962166292593e-10,581262249.7560916,1.8189894035458565e-11,0.0001
f_o,0.9,0.0006131893308158332,3.6834265560170554e-06,1.6070894615083375e-11,38155270.47513104,8.784639682346551e-14,1e-07
f_o,1.1,0.0005854922465911572,-3.73288425117857e-06,1.6493917343041176e-11,35497464.57521674,8.784639682346551e-14,1e-07
f_c,0.9,0.0004361036677177077,-2.90581962018654e-06,1.1496321256077024e-11,37934192.86079716,6.373720995433985e-14,1e-07
f_c,1.1,0.00041636527751708063,2.9398354902989408e-06,1.1804661415037998e-11,35271259.62178563,6.373720995433985e-14,1e-07
p_o,0.9,0.465554819062433,0.05919812600774321,3.032550921489019e-08,15351920.91131779,6.338041202980094e-11,0.0001
p_o,1.1,0.44442291752578456,-0.059004997065102316,3.1445878789782e-08,14132946.339225698,6.338041202980094e-11,0.0001
p_c,0.9,0.19547059279537038,-0.011628124555387753,1.3884434935107492e-08,14078397.407525253,1.9447554677753942e-11,0.0001
p_c,1.1,0.18757009470434838,0.011614612352574327,1.3900059769866857e-08,13494193.392676687,1.9447554677753942e-11,0.0001
z,0.9,6.354941084766013e-05,-1.5059451652093539e-05,1.533751424476204e-12,41433970.22067189,1.4649739754624136e-14,1e-08
z,1.1,6.245799714498824e-05,1.5021819753210236e-05,1.5851564852398248e-12,39401786.33880346,1.4649739754624136e-14,1e-08
