time_s,P_L_mmHg,dP_Ldt_source_mmHg_per_s,dP_Ldt_analytic_mmHg_per_s,derivative_error_mmHg_per_s
0.0,754.2625,-6.656802310269093,-0.4068023102690927,-6.25
0.005,754.2604558855217,-6.653574169215628,-0.410840791124241,-6.242733378091387
0.01,754.258391619121,-6.650330095746552,-0.41486305269001367,-6.235467043056539
0.015,754.2563072822916,-6.647070217932316,-0.41886893617442694,-6.228201281757889
0.02,754.2542029573196,-6.643794664467302,-0.4228582834320753,-6.2209363810352265
0.025,754.2520787272803,-6.640503564664737,-0.4268309369703755,-6.213672627694361
0.03,754.2499346760342,-6.637197048451598,-0.4307867399557833,-6.206410308495815
0.035,754.2477708882251,-6.633875246363468,-0.43472553621998566,-6.199149710143482
0.04,754.2455874492757,-6.630538289539392,-0.4386471702660654,-6.191891119273326
0.045,754.2433844453842,-6.627186309716701,-0.44255148727464055,-6.18463482244206
0.05,754.2411619635217,-6.623819439225804,-0.44643833310997594,-6.177381106115829
0.055,754.2389200914276,-6.620437810984972,-0.4503075543260683,-6.170130256658904
0.06,754.2366589176074,-6.617041558495082,-0.45415899817270405,-6.162882560322378
0.065,754.2343785313283,-6.613630815834356,-0.4579925126014899,-6.155638303232866
0.07,754.2320790226161,-6.610205717653059,-0.4618079462718549,-6.148397771381204
0.075,754.2297604822512,-6.606766399168192,-0.4656051485570256,-6.141161250611167
0.08,754.2274230017659,-6.603312996158145,-0.4693839695499723,-6.133929026608173
0.085,754.2250666734399,-6.599845644957341,-0.473144260069327,-6.126701384888014
0.09,754.2226915902969,-6.5963644824508565,-0.4768858716652734,-6.119478610785583
0.095,754.2202978461011,-6.592869646069014,-0.4806086566254067,-6.112260989443607
0.1,754.2178855353534,-6.589361273781954,-0.48431246798056543,-6.105048805801388
0.105,754.2154547532875,-6.585839504094195,-0.4879971595106335,-6.097842344583562
0.11,754.2130055958671,-6.582304476039159,-0.49166258575031285,-6.090641890288846
0.115,754.2105381597801,-6.5787563291736895,-0.4953086019948658,-6.083447727178823
0.12,754.208052542437,-6.575195203572535,-0.4989350643058281,-6.076260139266706
0.125,754.2055488419655,-6.57162123982282,-0.5025418295166912,-6.069079410306129
0.13,754.2030271572077,-6.568034579018503,-0.5061287552385545,-6.061905823779949
0.135,754.2004875877151,-6.564435362754796,-0.5096956998657457,-6.054739662889051
0.14,754.1979302337456,-6.560823733122582,-0.5132425225814126,-6.0475812105411695
0.145,754.1953551962592,-6.557199832702798,-0.516769083363081,-6.040430749339717
0.15,754.192762576914,-6.553563804560816,-0.5202752429881835,-6.033288561572633
0.155,754.1901524780619,-6.549915792240786,-0.5237608630395552,-6.0261549292012315
0.16,754.1875250027456,-6.546255939759973,-0.5272258059108978,-6.019030133849076
0.165,754.184880254693,-6.542584391603076,-0.5306699348122136,-6.011914456790862
0.17,754.1822183383141,-6.538901292716511,-0.5340931137752039,-6.004808178941307
0.17500000000000002,754.1795393586971,-6.535206788502703,-0.5374952076586378,-5.997711580844065
0.18,754.1768434216032,-6.531501024814338,-0.5408760821536873,-5.99062494266065
0.185,754.1741306334636,-6.527784147948607,-0.5442356037892295,-5.983548544159377
0.19,754.1714011013745,-6.524056304641429,-0.5475736399371156,-5.976482664704314
0.195,754.1686549330931,-6.520317642061663,-0.5508900588174068,-5.969427583244256
0.2,754.1658922370334,-6.516568307805288,-0.5541847295035773,-5.962383578301711
0.20500000000000002,754.1631131222618,-6.51280844988959,-0.5574575219276825,-5.9553509279619075
0.21,754.1603176984933,-6.509038216747303,-0.5607083068854939,-5.948329909861809
0.215,754.1575060760861,-6.5052577572207655,-0.5639369560416003,-5.941320801179165
0.22,754.1546783660383,-6.5014672205560275,-0.5671433419344738,-5.934323878621553
0.225,754.1518346799832,-6.497666756396974,-0.5703273379815019,-5.927339418415472
0.23,754.1489751301845,-6.493856514779408,-0.5734888184839848,-5.920367696295423
0.23500000000000001,754.1460998295322,-6.490036646125128,-0.576627658632098,-5.91340898749303
0.24,754.1432088915386,-6.486207301235995,-0.5797437345098188,-5.906463566726176
0.245,754.1403024303328,-6.482368631287972,-0.5828369230998192,-5.899531708188153
0.25,754.1373805606567,-6.478520787825161,-0.5859071022883221,-5.892613685536839
0.255,754.134443397861,-6.4746639227538205,-0.5889541508699221,-5.885709771883898
0.26,754.1314910578996,-6.470798188336363,-0.5919779485523702,-5.878820239783993
0.265,754.1285236573259,-6.466923737185349,-0.5949783759613232,-5.871945361224025
0.27,754.1255413132878,-6.463040722257461,-0.5979553146450559,-5.865085407612406
0.275,754.1225441435233,-6.459149296847465,-0.6009086470791383,-5.858240649768327
0.28,754.1195322663552,-6.455249614582157,-0.6038382566710738,-5.851411357911083
0.28500000000000003,754.1165058006874,-6.451341829414302,-0.6067440277649037,-5.844597801649398
0.29,754.1134648659996,-6.447426095616551,-0.6096258456457715,-5.83780024997078
0.295,754.1104095823426,-6.443502567775355,-0.6124835965444533,-5.831018971230902
0.3,754.1073400703339,-6.4395714007848595,-0.6153171676418474,-5.824254233143012
0.305,754.1042564511524,-6.435632749840791,-0.6181264470734301,-5.817506302767361
0.31,754.1011588465342,-6.43168677043433,-0.6209113239336704,-5.810775446500659
0.315,754.0980473787673,-6.42773361834597,-0.6236716882804091,-5.8040619300655605
0.32,754.0949221706873,-6.4237734496393735,-0.6264074311391988,-5.797366018500175
0.325,754.0917833456718,-6.419806420655204,-0.6291184445076066,-5.790687976147598
0.33,754.0886310276363,-6.415832688004957,-0.6318046213594768,-5.78402806664548
0.335,754.0854653410291,-6.411852408564779,-0.6344658556491576,-5.777386552915622
0.34,754.082286410826,-6.407865739469271,-0.6371020423156858,-5.770763697153585
0.34500000000000003,754.0790943625256,-6.403872838105288,-0.6397130772869362,-5.764159760818352
0.35000000000000003,754.0758893221445,-6.399873862105723,-0.6422988574837288,-5.7575750046219945
0.355,754.0726714162122,-6.395868969343286,-0.6448592808238993,-5.751009688519386
0.36,754.0694407717662,-6.39185831792427,-0.6473942462263278,-5.7444640716979425
0.365,754.0661975163467,-6.38784206618231,-0.649903653614931,-5.737938412567379
0.37,754.0629417779919,-6.383820372672133,-0.6523874039226114,-5.731432968749521
0.375,754.0596736852327,-6.379793396163295,-0.6548453990951694,-5.724947997068126
0.38,754.0563933670879,-6.375761295633922,-0.6572775420951738,-5.718483753538748
0.385,754.0531009530588,-6.3717242302644195,-0.6596837369057929,-5.712040493358627
0.39,754.0497965731242,-6.367682359431201,-0.6620638885345848,-5.705618470896616
0.395,754.0464803577355,-6.363635842700391,-0.6644179030172479,-5.699217939683143
0.4,754.0431524378109,-6.359584839821525,-0.6667456874213304,-5.692839152400195
0.405,754.0398129447312,-6.355529510721246,-0.6690471498498987,-5.686482360871348
0.41000000000000003,754.0364620103338,-6.351470015496987,-0.6713221994451657,-5.6801478160518215
0.41500000000000004,754.033099766908,-6.347406514410651,-0.6735707463920777,-5.673835768018574
0.42,754.0297263471891,-6.34333916788229,-0.6757927019218599,-5.66754646596043
0.425,754.0263418843541,-6.339268136483763,-0.6779879783155216,-5.661280158168241
