time_s,V_A,P_A,f_o,f_c,p_o,p_c,z
0,1,760,0.1368,0.05263,40,46,4.4219e-07
0.005,1.0160918290590342,759.9669229050652,0.13679981748125086,0.052628568680258725,40.67272987966706,43.391922810516995,7.060558031680876e-05
0.01,1.0319939693703775,759.9342719838418,0.13680715436432997,0.05262146349103087,41.363982697728076,41.07213533801549,0.0001367216064305261
0.015,1.0477088772150367,759.9020421662633,0.1368216804141798,0.052608966305392954,42.07483021063702,39.00876212454661,0.00019922804418955785
0.02,1.0632389779560765,759.8702284316659,0.13684308385991242,0.05259133986615379,42.806399479861255,37.17343601224494,0.0002585142798580888
0.025,1.078586666415228,759.8388258095258,0.13687107001325702,0.05256882956798959,43.55987457452501,35.54091285243936,0.0003149266324634914
0.03,1.0937543072522162,759.8078293800334,0.13690536001456935,0.052541665040400816,44.33649771252333,34.08872785236764,0.0003687731007244124
0.035,1.108744235334186,759.7772342745398,0.1369456896985465,0.05251006155060839,45.137569666097164,32.79689018480609,0.00042032758122928244
0.04,1.1235587560984828,759.7470356758887,0.13699180856418616,0.052474221251567414,45.96444917770102,31.647611227987376,0.0004698336218738299
0.045,1.1382001459221336,759.7172288186212,0.1370434788322081,0.052434334299486685,46.81855105172959,30.625061949984236,0.0005175077725123988
0.05,1.1526706524688133,759.6878089891194,0.13710047459250607,0.05239057984582167,47.70134259693649,29.715158060894368,0.0005635425519323232
0.055,1.1669724950536955,759.6587715256278,0.1371625810160328,0.05234312693383183,48.614337882055345,28.90536752318226,0.0006081091057994669
0.06,1.181107864981562,759.6301118182397,0.13722959364131876,0.05229213529571521,49.55908931919221,28.184540382513465,0.0006513595562226355
0.065,1.1950789258926324,759.6018253087975,0.13730131771500628,0.05223775607378347,50.53717583963407,27.5427566449419,0.0006934291019111731
0.07,1.208887814107045,759.5739074907285,0.13737756758456396,0.0521801324710442,51.550186899413326,26.9711908221115,0.0007344378880039542
0.075,1.222536638956872,759.5463539088435,0.13745816614115713,0.05211940033649587,52.59970139710858,26.46199167527537,0.0007744926659055319
0.08,1.2360274831266154,759.5191601590633,0.13754294430127506,0.05205568869787511,53.687260496409294,26.00817480035972,0.0008136882756624196
