resistance_scale,state,unit,max_absolute_change,final_signed_change,sum_control_widths,effect_to_envelope_ratio,numerically_separated
0.9,V_A,litre,0.05248070827222806,-0.0031890965833527574,2.725379921741933e-10,192562907.84840336,True
0.9,P_A,mmHg,0.26952305330451054,0.26952091942018797,5.475158104673028e-10,492265333.9900332,True
0.9,f_o,dimensionless,0.0006131893308158332,3.6834265560170554e-06,1.6070894615083375e-11,38155270.47513104,True
0.9,f_c,dimensionless,0.0004361036677177077,-2.90581962018654e-06,1.1496321256077024e-11,37934192.86079716,True
0.9,p_o,mmHg,0.465554819062433,0.05919812600774321,3.032550921489019e-08,15351920.91131779,True
0.9,p_c,mmHg,0.19547059279537038,-0.011628124555387753,1.3884434935107492e-08,14078397.407525253,True
0.9,z,source-labelled dimensionless; unresolved,6.354941084766013e-05,-1.5059451652093539e-05,1.533751424476204e-12,41433970.22067189,True
1.1,V_A,litre,0.047764966590000846,0.0037766884545300528,2.080660088665809e-10,229566409.47839487,True
1.1,P_A,mmHg,0.2684906258717774,-0.26847194781532835,4.6190962166292593e-10,581262249.7560916,True
1.1,f_o,dimensionless,0.0005854922465911572,-3.73288425117857e-06,1.6493917343041176e-11,35497464.57521674,True
1.1,f_c,dimensionless,0.00041636527751708063,2.9398354902989408e-06,1.1804661415037998e-11,35271259.62178563,True
1.1,p_o,mmHg,0.44442291752578456,-0.059004997065102316,3.1445878789782e-08,14132946.339225698,True
1.1,p_c,mmHg,0.18757009470434838,0.011614612352574327,1.3900059769866857e-08,13494193.392676687,True
1.1,z,source-labelled dimensionless; unresolved,6.245799714498824e-05,1.5021819753210236e-05,1.5851564852398248e-12,39401786.33880346,True
