id,server,arrival_s,start_s,finish_s,wait_s
Z-00,0,0.0,0.0,0.001,0.0
Z-01,1,0.0,0.0,0.001,0.0
Z-02,2,0.0,0.0,0.001,0.0
Z-03,3,0.0,0.0,0.001,0.0
Z-04,4,0.0,0.0,0.001,0.0
Z-05,5,0.0,0.0,0.001,0.0
Z-06,6,0.0,0.0,0.001,0.0
Z-07,7,0.0,0.0,0.001,0.0
Z-08,8,0.0,0.0,0.001,0.0
Z-09,9,0.0,0.0,0.001,0.0
Z-10,10,0.0,0.0,0.001,0.0
Z-11,11,0.0,0.0,0.001,0.0
Z-12,12,0.0,0.0,0.001,0.0
Z-13,13,0.0,0.0,0.001,0.0
Z-14,14,0.0,0.0,0.001,0.0
Z-15,15,0.0,0.0,0.001,0.0
Z-16,0,0.0,0.001,0.002,0.001
Z-17,1,0.0,0.001,0.002,0.001
Z-18,2,0.0,0.001,0.002,0.001
Z-19,3,0.0,0.001,0.002,0.001
Z-20,4,0.0,0.001,0.002,0.001
Z-21,5,0.0,0.001,0.002,0.001
Z-22,6,0.0,0.001,0.002,0.001
Z-23,7,0.0,0.001,0.002,0.001
Z-24,8,0.0,0.001,0.002,0.001
Z-25,9,0.0,0.001,0.002,0.001
Z-26,10,0.0,0.001,0.002,0.001
Z-27,11,0.0,0.001,0.002,0.001
Z-28,12,0.0,0.001,0.002,0.001
Z-29,13,0.0,0.001,0.002,0.001
Z-30,14,0.0,0.001,0.002,0.001
Z-31,15,0.0,0.001,0.002,0.001
