id,server,arrival_s,start_s,finish_s,wait_s
job-0000,0,0.0,0.0,11.32875072109686,0.0
job-0001,0,16.9385368266221,16.9385368266221,26.983946105271418,0.0
job-0002,0,34.96679812775322,34.96679812775322,46.515961459180716,0.0
job-0003,0,56.60653309666,56.60653309666,67.57416563468433,0.0
job-0004,0,74.50550686388672,74.50550686388672,83.80389144427726,0.0
job-0005,0,98.27898656745434,98.27898656745434,107.32493302466327,0.0
job-0006,0,121.32010841040105,121.32010841040105,130.98308490347864,0.0
job-0007,0,137.76116331175757,137.76116331175757,148.17799421246372,0.0
job-0008,0,156.38070498716618,156.38070498716618,167.63637832094216,0.0
job-0009,0,176.74017860487055,176.74017860487055,188.02675445406888,0.0
job-0010,0,193.50442914935417,193.50442914935417,201.60326622535612,0.0
job-0011,0,212.77811906447855,212.77811906447855,223.12292136222266,0.0
job-0012,0,233.97860363126318,233.97860363126318,242.12619741155243,0.0
job-0013,0,257.00985491331653,257.00985491331653,267.62963963279117,0.0
job-0014,0,280.3814989252062,280.3814989252062,292.0249325117468,0.0
job-0015,0,297.5581746392913,297.5581746392913,307.64285513309943,0.0
job-0016,0,318.20680777526866,318.20680777526866,329.537195646001,0.0
job-0017,0,335.5797488427587,335.5797488427587,345.6061625491667,0.0
job-0018,0,354.6850388372613,354.6850388372613,363.96967522360353,0.0
job-0019,0,373.8450198842466,373.8450198842466,385.10343846801754,0.0
job-0020,0,395.23540740353553,395.23540740353553,405.7319909442288,0.0
job-0021,0,416.1114037717257,416.1114037717257,424.6485268801407,0.0
job-0022,0,435.8573978363713,435.8573978363713,447.0022851248602,0.0
job-0023,0,458.70562888238567,458.70562888238567,468.5557852355884,0.0
job-0024,0,477.24195559127713,477.24195559127713,486.02114613150036,0.0
job-0025,0,494.9341550198429,494.9341550198429,506.14527102214606,0.0
job-0026,0,516.5533072085286,516.5533072085286,525.9162735516155,0.0
job-0027,0,532.6506472321463,532.6506472321463,541.8781271463779,0.0
job-0028,0,549.9058442664439,549.9058442664439,558.2768846553201,0.0
job-0029,0,572.029058389872,572.029058389872,583.2484029572572,0.0
job-0030,0,590.5003291119164,590.5003291119164,600.5844059782416,0.0
job-0031,0,613.2208675877771,613.2208675877771,624.0274652783893,0.0
job-0032,0,634.6138179832946,634.6138179832946,643.2450463008869,0.0
job-0033,0,652.8331067650678,652.8331067650678,662.9177490276759,0.0
job-0034,0,669.7949721541468,669.7949721541468,680.9853030218284,0.0
job-0035,0,691.8231667616943,691.8231667616943,701.4703931271301,0.0
job-0036,0,711.8609838443496,711.8609838443496,720.1527254040121,0.0
job-0037,0,732.8302121952647,732.8302121952647,741.0173112496191,0.0
job-0038,0,750.770583976806,750.770583976806,760.5700433214947,0.0
job-0039,0,767.9348675173328,767.9348675173328,777.7923262464982,0.0
job-0040,0,788.229222526825,788.229222526825,797.9372315256031,0.0
job-0041,0,808.9500431067662,808.9500431067662,819.486946216178,0.0
job-0042,0,829.9996720499378,829.9996720499378,841.0507040249605,0.0
job-0043,0,850.786097141349,850.786097141349,860.7230314034007,0.0
job-0044,0,870.1504439267326,870.1504439267326,880.7812047076521,0.0
job-0045,0,890.4139980467619,890.4139980467619,899.4090541526082,0.0
job-0046,0,906.7592366981459,906.7592366981459,915.0434940804579,0.0
job-0047,0,929.6226213911584,929.6226213911584,941.0994770702753,0.0
job-0048,0,945.7396434130991,945.7396434130991,953.8226546646024,0.0
job-0049,0,965.9688635513213,965.9688635513213,974.3584360401219,0.0
job-0050,0,985.3517334614548,985.3517334614548,994.1752327497883,0.0
job-0051,0,1005.73814919535,1005.73814919535,1014.2119202001443,0.0
job-0052,0,1024.448459823845,1024.448459823845,1035.1899129751032,0.0
job-0053,0,1042.5454558878662,1042.5454558878662,1050.7742577710164,0.0
job-0054,0,1065.41198102422,1065.41198102422,1077.2303519039576,0.0
job-0055,0,1086.2109509688285,1086.2109509688285,1094.6530585042449,0.0
job-0056,0,1108.5015704901648,1108.5015704901648,1117.8468088172774,0.0
job-0057,0,1128.0426521951028,1128.0426521951028,1136.2917916369627,0.0
job-0058,0,1147.8199552040169,1147.8199552040169,1155.9553008632731,0.0
job-0059,0,1170.9856556364673,1170.9856556364673,1180.236142245409,0.0
job-0060,0,1193.551973058928,1193.551973058928,1203.1954817184928,0.0
job-0061,0,1215.5199930632343,1215.5199930632343,1224.5388081851377,0.0
job-0062,0,1233.8173887639034,1233.8173887639034,1243.5408008892152,0.0
job-0063,0,1254.3597650754484,1254.3597650754484,1264.2966950967914,0.0
job-0064,0,1270.4768372561907,1270.4768372561907,1281.9875526078035,0.0
job-0065,0,1288.9789635624788,1288.9789635624788,1297.0324192347746,0.0
job-0066,0,1312.9799661232594,1312.9799661232594,1322.2820423215646,0.0
job-0067,0,1334.3480411119226,1334.3480411119226,1345.8349911760986,0.0
job-0068,0,1355.4421515460028,1355.4421515460028,1365.4519517862955,0.0
job-0069,0,1378.1230665840742,1378.1230665840742,1388.382804815118,0.0
job-0070,0,1400.5028056939461,1400.5028056939461,1411.891547022143,0.0
job-0071,0,1422.514516181873,1422.514516181873,1432.1112720196832,0.0
job-0072,0,1445.7396115068307,1445.7396115068307,1455.7763090184897,0.0
job-0073,0,1466.0752413241903,1466.0752413241903,1475.2346096986205,0.0
job-0074,0,1486.5989725064462,1486.5989725064462,1496.4119799828525,0.0
job-0075,0,1507.8485328819163,1507.8485328819163,1517.9883563833203,0.0
job-0076,0,1528.0885276528923,1528.0885276528923,1537.3906215291533,0.0
job-0077,0,1547.2484680665218,1547.2484680665218,1557.2394593607582,0.0
job-0078,0,1567.0819025578558,1567.0819025578558,1578.048146597656,0.0
job-0079,0,1584.268714520547,1584.268714520547,1594.7924845891816,0.0
job-0080,0,1601.3301929543038,1601.3301929543038,1612.9298824380346,0.0
job-0081,0,1622.3578827028991,1622.3578827028991,1631.3836510432754,0.0
job-0082,0,1640.2545346153058,1640.2545346153058,1651.2664740959851,0.0
job-0083,0,1660.2260705293345,1660.2260705293345,1670.1866801918245,0.0
job-0084,0,1678.7933753936848,1678.7933753936848,1689.0281097474285,0.0
job-0085,0,1699.1134946546147,1699.1134946546147,1707.660843237906,0.0
job-0086,0,1719.9031299341148,1719.9031299341148,1728.195155689411,0.0
job-0087,0,1741.7275481974068,1741.7275481974068,1751.3035697675941,0.0
job-0088,0,1759.9107138222714,1759.9107138222714,1769.4214094690008,0.0
job-0089,0,1777.0322884163488,1777.0322884163488,1788.0496280890213,0.0
job-0090,0,1796.882055183115,1796.882055183115,1808.5313789970376,0.0
job-0091,0,1814.0792210194907,1814.0792210194907,1822.3228190363698,0.0
job-0092,0,1830.9048253992844,1830.9048253992844,1841.7847206647714,0.0
job-0093,0,1847.8374360901214,1847.8374360901214,1856.9602601379233,0.0
job-0094,0,1866.879034501892,1866.879034501892,1876.9559363913547,0.0
