kind,seed,baseline_mean_wait_s,delayed_mean_wait_s,delta_mean_wait_s,delta_p95_wait_s,delta_max_wait_s,delta_makespan_s
low,1701,0.0,0.0,0.0,0.0,0.0,1.0
low,2903,0.0,0.0,0.0,0.0,0.0,1.0
near,1701,1.6396465729819492,192.90072086049187,191.26107428750993,367.4280453276765,369.2295159276023,380.17080042699126
near,2903,1.4488003128424296,173.99227350475613,172.5434731919137,344.31525553008396,367.1627613556011,378.06329587669643
over,1701,367.41525729749884,766.9152572975004,399.50000000000153,758.9423484796898,799.0,800.0000000000009
over,2903,348.32990058826,747.8299005882591,399.4999999999991,758.9999999999964,799.0000000000027,800.0000000000036
multi,1701,0.6401323353256025,47.82265054165789,47.18251820633229,90.51100436000092,91.69804098454688,95.09173965282798
multi,2903,0.5384744309385121,42.904879235053684,42.36640480411517,84.34071132446581,91.43085108056357,95.48982899273096
burst,1701,44.99999999999999,49.49999999999999,4.5,9.0,9.0,10.0
burst,2903,44.99999999999999,49.49999999999999,4.5,9.0,9.0,10.0
hetero,1701,4.352500000000001,6.560178571428571,2.20767857142857,7.857142857142662,10.857142857143117,14.71428571428578
hetero,2903,3.54428571428571,5.347678571428568,1.8033928571428577,9.571428571428555,9.0,1.0
