label,servers,jobs,delay_s,bundle,cli_wall_s,worker_wall_s,artifact_bytes,kind,seed,nominal_load,mean_wait_s,p95_wait_s,max_wait_s,makespan_s,busy_work_s,queue_area_job_s,realized_utilization,all_checks
low-1701-d0,1,800,0.0,attempts/eb9b8f379b764cc8a446679440d85bb4,0.6748577899998054,0.08023251604754478,370587,low,1701,0.5,0.0,0.0,0.0,15988.854784984234,8000.000000000001,0.0,0.5003485307473752,PASS
low-1701-d1,1,800,1.0,attempts/9d20579dcd4d4fb082945058d885b425,0.23018970800330862,0.07359362399438396,370587,low,1701,0.55,0.0,0.0,0.0,15989.854784984234,8800.000000000002,0.0,0.5503489630352311,PASS
low-2903-d0,1,800,0.0,attempts/f7c052e63fda484da7ec4e696adf4bc9,0.2534014569828287,0.11407717998372391,370637,low,2903,0.5,0.0,0.0,0.0,15991.410388333843,8000.000000000002,0.0,0.5002685695463243,PASS
low-2903-d1,1,800,1.0,attempts/331df824a7b84464a8af0ceb1a4644a7,0.2636976350331679,0.08108681603334844,370637,low,2903,0.55,0.0,0.0,0.0,15992.410388333843,8800.000000000005,0.0,0.5502610167144933,PASS
near-1701-d0,1,800,0.0,attempts/1f40dfe78da641f08fcf4fe78e44880d,0.4819732450414449,0.111103538016323,377156,near,1701,0.95,1.6396465729819492,5.726014121447861,10.487374593979894,8419.82919957301,8000.000000000001,1311.7172583855595,0.950138038477752,PASS
near-1701-d1,1,800,1.0,attempts/56c7f5614b264a1d9288878ccdb08489,0.32476049300748855,0.07501094095641747,381343,near,1701,1.045,192.90072086049187,373.15405944912436,379.7168905215822,8800.000000000002,8800.000000000002,154320.57668839343,1.0,PASS
near-2903-d0,1,800,0.0,attempts/f54d6ee337f648ad981e220929f657b7,0.23282896901946515,0.0640624999650754,377228,near,2903,0.95,1.4488003128424296,5.408899167588061,11.531334731407696,8421.936704123309,8000.000000000002,1159.0402502739437,0.9499002760354717,PASS
near-2903-d1,1,800,1.0,attempts/63b5e61333cc49aba8f694de05985196,0.2007118389592506,0.08516644698102027,381475,near,2903,1.045,173.99227350475613,349.724154697672,378.6940960870088,8800.000000000005,8800.000000000005,139193.8188038049,1.0,PASS
over-1701-d0,1,800,0.0,attempts/04982c9b26664a4b8780e99cc6be5993,0.31048343901056796,0.081387585029006,381436,over,1701,1.1,367.41525729749884,704.382521995889,727.5088513793926,8000.000000000001,8000.000000000001,293932.2058379991,1.0,PASS
over-1701-d1,1,800,1.0,attempts/77b2f2d342064c4dbd911dc04108fa11,0.28457629395416006,0.0820132700027898,381476,over,1701,1.2100000000000002,766.9152572975004,1463.3248704755788,1526.5088513793926,8800.000000000002,8800.000000000002,613532.2058379995,1.0,PASS
over-2903-d0,1,800,0.0,attempts/425496536ff547d09a0c291da4424066,0.352458359033335,0.11475801700726151,381452,over,2903,1.1,348.32990058826,681.1903733464733,724.9532480297921,8000.000000000002,8000.000000000002,278663.9204706079,1.0,PASS
over-2903-d1,1,800,1.0,attempts/563f3ccd6c4e4cc19337d3b6b230cf66,0.256825617980212,0.06404708098853007,381456,over,2903,1.2100000000000002,747.8299005882591,1440.1903733464696,1523.9532480297948,8800.000000000005,8800.000000000005,598263.9204706077,1.0,PASS
multi-1701-d0,4,800,0.0,attempts/83ae3330cd454a36b6f71fdc97e3d2ad,0.5947537730098702,0.1655558650381863,377352,multi,1701,0.95,0.6401323353256025,2.601289465677155,3.976763463509542,2112.4136455095936,8000.000000000001,512.105868260482,0.9467842646497983,PASS
multi-1701-d1,4,800,1.0,attempts/ed816499585143b8b98c1583afe919ae,0.637671047996264,0.2702405789750628,382159,multi,1701,1.045,47.82265054165789,93.11229382567808,95.67480444805642,2207.5053851624216,8800.000000000002,38258.12043332635,0.9966000603156541,PASS
multi-2903-d0,4,800,0.0,attempts/d7bd3a37bb8b4acc8939ef8eb0effe86,0.51652543497039,0.08694489602930844,377156,multi,2903,0.95,0.5384744309385121,2.2837679244079254,4.151016224136583,2114.041967281206,8000.000000000002,430.7795447508097,0.9460550126032404,PASS
multi-2903-d1,4,800,1.0,attempts/32ff449bdfce4482859455cbedbe60da,0.2988872019923292,0.11647496098885313,382201,multi,2903,1.045,42.904879235053684,86.62447924887374,95.58186730470015,2209.531796273937,8800.000000000005,34323.90338804294,0.9956860560730515,PASS
burst-1701-d0,4,800,0.0,attempts/fd78f7c00000406da10060e1fef3f4ab,0.2766183860367164,0.12177646602503955,347240,burst,1701,0.7,44.99999999999999,90.0,90.00000000000006,2814.2857142857147,8000.0,35999.99999999999,0.7106598984771573,PASS
burst-1701-d1,4,800,1.0,attempts/7e7aa9696a594d60b003d5a08f6b010e,0.36853571503888816,0.06435756798600778,347288,burst,1701,0.77,49.49999999999999,99.0,99.00000000000006,2824.2857142857147,8800.0,39599.99999999999,0.7789580171977742,PASS
burst-2903-d0,4,800,0.0,attempts/58b5b3bdda4f4defb307de132a6af743,0.491687179019209,0.1158603280200623,347240,burst,2903,0.7,44.99999999999999,90.0,90.00000000000006,2814.2857142857147,8000.0,35999.99999999999,0.7106598984771573,PASS
burst-2903-d1,4,800,1.0,attempts/e3207fe35005488c9b8bb495259a34d3,0.33232862496515736,0.09561865497380495,347289,burst,2903,0.77,49.49999999999999,99.0,99.00000000000006,2824.2857142857147,8800.0,39599.99999999999,0.7789580171977742,PASS
hetero-1701-d0,4,800,0.0,attempts/d5eea5a11da948a3b4ed19a4b5c73f93,0.3335517910309136,0.12639234401285648,346914,hetero,1701,0.7,4.352500000000001,21.71428571428578,43.0,2855.571428571429,8000.0,3482.000000000001,0.7003852118665265,PASS
hetero-1701-d1,4,800,1.0,attempts/360d3092f5bd42178faac22e5a48dc1b,0.6172626040061004,0.22238372394349426,347489,hetero,1701,0.77,6.560178571428571,29.57142857142844,53.85714285714312,2870.2857142857147,8800.0,5248.142857142855,0.7664742185944654,PASS
hetero-2903-d0,4,800,0.0,attempts/2f4d86b303c443d4878d988dd08d3794,0.38221698300912976,0.12408156599849463,345368,hetero,2903,0.7,3.54428571428571,21.14285714285714,55.85714285714286,2881.2857142857147,8000.0,2835.428571428567,0.6941345629431305,PASS
hetero-2903-d1,4,800,1.0,attempts/867346bfa089492ea18cd2185128daa6,0.8092140129883774,0.4671260089962743,346482,hetero,2903,0.77,5.347678571428568,30.714285714285694,64.85714285714286,2882.2857142857147,8800.0,4278.142857142853,0.7632831086439332,PASS
heldout-permutation,1,800,0.0,attempts/c1c1fa71f3b54f9a8f0dcb6335fe32c3,0.6193853939766996,0.22031871101353317,370587,heldout,0,0.5,0.0,0.0,0.0,15988.854784984234,8000.000000000001,0.0,0.5003485307473752,PASS
heldout-sixteen-ties,16,32,0.0,attempts/d8b6ec29ac1f44158269cf3327a89ce5,0.2791856130352244,0.11921616201288998,108724,heldout,0,,0.0005,0.001,0.001,0.002,0.03200000000000002,0.016,1.0000000000000007,PASS
heldout-boundaries,1,3,100.0,attempts/672cae4583ed418aa3a34c9828316902,0.21757335297297686,0.07683057599933818,102057,heldout,0,,33.333666666666666,100.001,100.001,1000100.001,10300.002,100.001,0.010298972092491778,PASS
heldout-idle-ascii,2,3,0.0,attempts/2f0985d285404edb8494a3446c9b7464,0.2791051029926166,0.1258521900163032,101926,heldout,0,,0.0,0.0,0.0,11.0,4.0,0.0,0.18181818181818182,PASS
